package_id,item_id,user__id,user__feedback,data__item_id,data__text,annotation__output,annotation__time,reference__output,feedback__output,test_group
227,63417,525,True,2877,"We had a good stay at the Lincoln Plaza Hotel. The hotel decor is a bit outdated, so it was kind of like stepping back into the 1980's. But everything else was just fine about our stay. The check-in process was quick and easy. The staff was friendly. Our room was clean and comfortable. There is a refrigerator in the room for keeping items chilled. There was a coffee maker, as well, with both tea and coffee. The bathroom was small, but everything worked just fine. We needed extra towels and a visit to the front desk to ask for them had the towels delivered to our room in about five minutes. The hotel is located in the middle of Monterey Park, which is a majority Asian populated city. If you have an issue with being served by Asian staff, surrounded by Asian guests, and having people in your hotel speak a different language with each other when they are not speaking with you, then you might have issues staying at this hotel. But if you would like a clean, comfortable, budget-friendly place to stay when in the Los Angeles Area, the Lincoln Plaza Hotel should work nicely for you.",2 - NEGATIVE,0 days 00:00:00.020385000,3 - NEUTRAL,3 - NEUTRAL,high quality feedback
227,63417,556,True,2877,"We had a good stay at the Lincoln Plaza Hotel. The hotel decor is a bit outdated, so it was kind of like stepping back into the 1980's. But everything else was just fine about our stay. The check-in process was quick and easy. The staff was friendly. Our room was clean and comfortable. There is a refrigerator in the room for keeping items chilled. There was a coffee maker, as well, with both tea and coffee. The bathroom was small, but everything worked just fine. We needed extra towels and a visit to the front desk to ask for them had the towels delivered to our room in about five minutes. The hotel is located in the middle of Monterey Park, which is a majority Asian populated city. If you have an issue with being served by Asian staff, surrounded by Asian guests, and having people in your hotel speak a different language with each other when they are not speaking with you, then you might have issues staying at this hotel. But if you would like a clean, comfortable, budget-friendly place to stay when in the Los Angeles Area, the Lincoln Plaza Hotel should work nicely for you.",3 - NEUTRAL,0 days 00:00:00.060710000,3 - NEUTRAL,3 - NEUTRAL,high quality feedback
227,63417,565,False,2877,"We had a good stay at the Lincoln Plaza Hotel. The hotel decor is a bit outdated, so it was kind of like stepping back into the 1980's. But everything else was just fine about our stay. The check-in process was quick and easy. The staff was friendly. Our room was clean and comfortable. There is a refrigerator in the room for keeping items chilled. There was a coffee maker, as well, with both tea and coffee. The bathroom was small, but everything worked just fine. We needed extra towels and a visit to the front desk to ask for them had the towels delivered to our room in about five minutes. The hotel is located in the middle of Monterey Park, which is a majority Asian populated city. If you have an issue with being served by Asian staff, surrounded by Asian guests, and having people in your hotel speak a different language with each other when they are not speaking with you, then you might have issues staying at this hotel. But if you would like a clean, comfortable, budget-friendly place to stay when in the Los Angeles Area, the Lincoln Plaza Hotel should work nicely for you.",5 - STRONGLY POSITIVE,0 days 00:00:00.019098000,3 - NEUTRAL,,high quality feedback
227,63417,673,True,2877,"We had a good stay at the Lincoln Plaza Hotel. The hotel decor is a bit outdated, so it was kind of like stepping back into the 1980's. But everything else was just fine about our stay. The check-in process was quick and easy. The staff was friendly. Our room was clean and comfortable. There is a refrigerator in the room for keeping items chilled. There was a coffee maker, as well, with both tea and coffee. The bathroom was small, but everything worked just fine. We needed extra towels and a visit to the front desk to ask for them had the towels delivered to our room in about five minutes. The hotel is located in the middle of Monterey Park, which is a majority Asian populated city. If you have an issue with being served by Asian staff, surrounded by Asian guests, and having people in your hotel speak a different language with each other when they are not speaking with you, then you might have issues staying at this hotel. But if you would like a clean, comfortable, budget-friendly place to stay when in the Los Angeles Area, the Lincoln Plaza Hotel should work nicely for you.",3 - NEUTRAL,0 days 00:00:09.744732000,3 - NEUTRAL,3 - NEUTRAL,high quality feedback
224,63045,520,True,640,Bad: The hotel cannot control the metal plate in the road that bangs when cars drive over it all night. Good: The bed was very comfortable and the berries and fresh fruit were awesome! The staff was friendly and more than made up for a mishap with the room reservation.,4 - POSITIVE,0 days 00:00:00.028451000,5 - STRONGLY POSITIVE,5 - STRONGLY POSITIVE,high quality feedback
224,63045,530,False,640,Bad: The hotel cannot control the metal plate in the road that bangs when cars drive over it all night. Good: The bed was very comfortable and the berries and fresh fruit were awesome! The staff was friendly and more than made up for a mishap with the room reservation.,4 - POSITIVE,0 days 00:00:00.039949000,5 - STRONGLY POSITIVE,,high quality feedback
224,63045,572,True,640,Bad: The hotel cannot control the metal plate in the road that bangs when cars drive over it all night. Good: The bed was very comfortable and the berries and fresh fruit were awesome! The staff was friendly and more than made up for a mishap with the room reservation.,4 - POSITIVE,0 days 00:00:00.017216000,5 - STRONGLY POSITIVE,5 - STRONGLY POSITIVE,high quality feedback
224,62732,520,True,1310,Great shower! 24' gym is nice.rooms a little dated.,5 - STRONGLY POSITIVE,0 days 00:00:00.032391000,4 - POSITIVE,4 - POSITIVE,high quality feedback
224,62732,530,False,1310,Great shower! 24' gym is nice.rooms a little dated.,3 - NEUTRAL,0 days 00:00:00.039285000,4 - POSITIVE,,high quality feedback
224,62732,572,True,1310,Great shower! 24' gym is nice.rooms a little dated.,4 - POSITIVE,0 days 00:00:00.018159000,4 - POSITIVE,4 - POSITIVE,high quality feedback
