package_id,item_id,user__id,user__feedback,data__item_id,data__title,data__image_url,data__category_breadcrumbs,data__text,annotation__output,annotation__time,reference__output,feedback__output,test_group
805,97613,1238,False,163802863541,"Calvin Klein Invisibles Hipster 3-Pack, S,, MultiColor, Size Small US /",https://i.ebayimg.com/00/s/MTAwMFg4NTA=/z/hfkAAOSwECNdRV6n/$_1.JPG?set_id=880000500F,"Clothes, Shoes & Accessories > Women's Clothing > Lingerie & Nightwear > Knickers",Calvin Klein Invisibles Hipster 3 Pack MultiColor Siz Small US,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'Pattern-b', 'O', 'O']",0 days 00:00:03.082419000,"['Brand-b', 'Brand-i', 'O', 'O', 'O', 'O', 'Color-b', 'O', 'Size-b', 'O']",,high quality feedback
805,97613,1281,True,163802863541,"Calvin Klein Invisibles Hipster 3-Pack, S,, MultiColor, Size Small US /",https://i.ebayimg.com/00/s/MTAwMFg4NTA=/z/hfkAAOSwECNdRV6n/$_1.JPG?set_id=880000500F,"Clothes, Shoes & Accessories > Women's Clothing > Lingerie & Nightwear > Knickers",Calvin Klein Invisibles Hipster 3 Pack MultiColor Siz Small US,"['Brand-b', 'O', 'Material-b', 'Size-b', 'O', 'Pattern-b', 'O', 'Color-b', 'O', 'Department-b']",0 days 00:00:18.192613000,"['Brand-b', 'Brand-i', 'O', 'O', 'O', 'O', 'Color-b', 'O', 'Size-b', 'O']","['Brand-b', 'Brand-i', 'O', 'O', 'O', 'O', 'Color-b', 'O', 'Size-b', 'O']",high quality feedback
805,97613,1309,False,163802863541,"Calvin Klein Invisibles Hipster 3-Pack, S,, MultiColor, Size Small US /",https://i.ebayimg.com/00/s/MTAwMFg4NTA=/z/hfkAAOSwECNdRV6n/$_1.JPG?set_id=880000500F,"Clothes, Shoes & Accessories > Women's Clothing > Lingerie & Nightwear > Knickers",Calvin Klein Invisibles Hipster 3 Pack MultiColor Siz Small US,"['O', 'O', 'O', 'O', 'O', 'O', 'Pattern-b', 'O', 'O', 'O']",0 days 00:00:08.131289000,"['Brand-b', 'Brand-i', 'O', 'O', 'O', 'O', 'Color-b', 'O', 'Size-b', 'O']",,high quality feedback
805,98087,1238,False,143315451923,Wrangler western cowboy shirt New with tags size 2XL / 17.5” | Long Tails | A61,https://i.ebayimg.com/00/s/MTYwMFgxNjAw/z/2PwAAOSw9yZdGhlq/$_12.JPG?set_id=880000500F,"Clothes, Shoes & Accessories > Men's Clothing > Shirts & Tops > Casual Shirts & Tops",Wrangler western cowboy shirt New with tags size 2XL 17,"['O', 'O', 'O', 'Material-b', 'O', 'O', 'O', 'O', 'O', 'O']",0 days 00:00:03.328885000,"['Brand-b', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",,high quality feedback
805,98087,1281,True,143315451923,Wrangler western cowboy shirt New with tags size 2XL / 17.5” | Long Tails | A61,https://i.ebayimg.com/00/s/MTYwMFgxNjAw/z/2PwAAOSw9yZdGhlq/$_12.JPG?set_id=880000500F,"Clothes, Shoes & Accessories > Men's Clothing > Shirts & Tops > Casual Shirts & Tops",Wrangler western cowboy shirt New with tags size 2XL 17,"['Brand-b', 'Material-b', 'O', 'Size-b', 'O', 'Pattern-b', 'O', 'Color-b', 'O', 'Department-b']",0 days 00:00:15.333433000,"['Brand-b', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Brand-b', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",high quality feedback
805,98087,1309,False,143315451923,Wrangler western cowboy shirt New with tags size 2XL / 17.5” | Long Tails | A61,https://i.ebayimg.com/00/s/MTYwMFgxNjAw/z/2PwAAOSw9yZdGhlq/$_12.JPG?set_id=880000500F,"Clothes, Shoes & Accessories > Men's Clothing > Shirts & Tops > Casual Shirts & Tops",Wrangler western cowboy shirt New with tags size 2XL 17,"['O', 'O', 'Color-b', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0 days 00:00:04.105237000,"['Brand-b', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",,high quality feedback
805,97076,1238,False,143365426923,Women Slim Military Army Pocket Leggings Jogging Camouflage Camo Casual Pants,https://i.ebayimg.com/00/s/MTUwMFgxNTAw/z/-YwAAOSwqK9dYG3I/$_1.JPG?set_id=2,"Clothes, Shoes & Accessories > Women's Clothing > Trousers",Women Slim Military Army Pocket Leggings Jogging Camouflage Camo Casual Pants,"['O', 'O', 'O', 'O', 'Material-b', 'O', 'O', 'O', 'O', 'O', 'O']",0 days 00:00:02.790380000,"['Department-b', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",,high quality feedback
805,97076,1281,True,143365426923,Women Slim Military Army Pocket Leggings Jogging Camouflage Camo Casual Pants,https://i.ebayimg.com/00/s/MTUwMFgxNTAw/z/-YwAAOSwqK9dYG3I/$_1.JPG?set_id=2,"Clothes, Shoes & Accessories > Women's Clothing > Trousers",Women Slim Military Army Pocket Leggings Jogging Camouflage Camo Casual Pants,"['Brand-b', 'Material-b', 'O', 'Size-b', 'O', 'Pattern-b', 'O', 'Color-b', 'O', 'Department-b', 'O']",0 days 00:00:15.422308000,"['Department-b', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Department-b', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",high quality feedback
805,97076,1309,False,143365426923,Women Slim Military Army Pocket Leggings Jogging Camouflage Camo Casual Pants,https://i.ebayimg.com/00/s/MTUwMFgxNTAw/z/-YwAAOSwqK9dYG3I/$_1.JPG?set_id=2,"Clothes, Shoes & Accessories > Women's Clothing > Trousers",Women Slim Military Army Pocket Leggings Jogging Camouflage Camo Casual Pants,"['O', 'O', 'O', 'O', 'O', 'Pattern-b', 'O', 'O', 'O', 'O', 'O']",0 days 00:00:03.889387000,"['Department-b', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",,high quality feedback
805,98128,1238,False,223555206495,Women Dress Ladies Beach Summer Cotton line Clothing Baggy Solid Color Retro,https://i.ebayimg.com/00/s/ODAwWDgwMA==/z/PfgAAOSwNj5dB28G/$_1.JPG?set_id=2,"Clothes, Shoes & Accessories > Women's Clothing > Dresses",Women Dress Ladies Beach Summer Cotton line Clothing Baggy Solid Color Retro,"['O', 'O', 'O', 'O', 'O', 'Size-b', 'O', 'O', 'O', 'O', 'O', 'O']",0 days 00:00:07.284486000,"['Department-b', 'O', 'O', 'O', 'O', 'Material-b', 'O', 'O', 'O', 'O', 'O', 'O']",,high quality feedback
805,98128,1281,True,223555206495,Women Dress Ladies Beach Summer Cotton line Clothing Baggy Solid Color Retro,https://i.ebayimg.com/00/s/ODAwWDgwMA==/z/PfgAAOSwNj5dB28G/$_1.JPG?set_id=2,"Clothes, Shoes & Accessories > Women's Clothing > Dresses",Women Dress Ladies Beach Summer Cotton line Clothing Baggy Solid Color Retro,"['Brand-b', 'Material-b', 'O', 'Size-b', 'O', 'Pattern-b', 'O', 'O', 'Color-b', 'O', 'Department-b', 'O']",0 days 00:00:15.820057000,"['Department-b', 'O', 'O', 'O', 'O', 'Material-b', 'O', 'O', 'O', 'O', 'O', 'O']","['Department-b', 'O', 'O', 'O', 'O', 'Material-b', 'O', 'O', 'O', 'O', 'O', 'O']",high quality feedback
805,98128,1309,False,223555206495,Women Dress Ladies Beach Summer Cotton line Clothing Baggy Solid Color Retro,https://i.ebayimg.com/00/s/ODAwWDgwMA==/z/PfgAAOSwNj5dB28G/$_1.JPG?set_id=2,"Clothes, Shoes & Accessories > Women's Clothing > Dresses",Women Dress Ladies Beach Summer Cotton line Clothing Baggy Solid Color Retro,"['O', 'O', 'Color-b', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0 days 00:00:03.533396000,"['Department-b', 'O', 'O', 'O', 'O', 'Material-b', 'O', 'O', 'O', 'O', 'O', 'O']",,high quality feedback
805,97028,1238,False,303209472314,Women's Panties Briefs Knickers Underwear Lingerie Thongs Lace Comfortable,https://i.ebayimg.com/00/s/ODAwWDgwMA==/z/gEMAAOSwV79dGqFi/$_1.JPG?set_id=2,"Clothes, Shoes & Accessories > Women's Clothing > Lingerie & Nightwear > Knickers",Women s Panties Briefs Knickers Underwear Lingerie Thongs Lace Comfortable,"['O', 'O', 'O', 'O', 'O', 'O', 'Size-b', 'O', 'O', 'O']",0 days 00:00:04.757729000,"['Department-b', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'Material-b', 'O']",,high quality feedback
805,97028,1281,True,303209472314,Women's Panties Briefs Knickers Underwear Lingerie Thongs Lace Comfortable,https://i.ebayimg.com/00/s/ODAwWDgwMA==/z/gEMAAOSwV79dGqFi/$_1.JPG?set_id=2,"Clothes, Shoes & Accessories > Women's Clothing > Lingerie & Nightwear > Knickers",Women s Panties Briefs Knickers Underwear Lingerie Thongs Lace Comfortable,"['Brand-b', 'O', 'Size-b', 'O', 'O', 'Pattern-b', 'O', 'Color-b', 'O', 'Department-b']",0 days 00:00:36.352554000,"['Department-b', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'Material-b', 'O']","['Department-b', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'Material-b', 'O']",high quality feedback
805,97028,1309,False,303209472314,Women's Panties Briefs Knickers Underwear Lingerie Thongs Lace Comfortable,https://i.ebayimg.com/00/s/ODAwWDgwMA==/z/gEMAAOSwV79dGqFi/$_1.JPG?set_id=2,"Clothes, Shoes & Accessories > Women's Clothing > Lingerie & Nightwear > Knickers",Women s Panties Briefs Knickers Underwear Lingerie Thongs Lace Comfortable,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0 days 00:00:04.907288000,"['Department-b', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'Material-b', 'O']",,high quality feedback
817,97596,525,True,163794097464,"If Your Car Sounds Like, Womens Funny Mechanic T-Shirt - Gift for Her Mum",https://resources.vectorbomb.com/If%20Your%20Car%20Sounds%20Like%20-%20ARTWORK/womans_tshirt/If%20Your%20Car%20Sounds%20Like%20-%20ARTWORK_Womens_Tshirt_BLACK.jpg,"Clothes, Shoes & Accessories > Women's Clothing > Tops & Shirts",If Your Car Sounds Like Womens Funny Mechanic T Shirt Gift for Her Mum,"['O', 'O', 'O', 'O', 'O', 'Department-b', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0 days 00:00:14.918342000,"['O', 'O', 'O', 'O', 'O', 'Department-b', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'Department-b', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",high quality feedback
817,97596,1242,False,163794097464,"If Your Car Sounds Like, Womens Funny Mechanic T-Shirt - Gift for Her Mum",https://resources.vectorbomb.com/If%20Your%20Car%20Sounds%20Like%20-%20ARTWORK/womans_tshirt/If%20Your%20Car%20Sounds%20Like%20-%20ARTWORK_Womens_Tshirt_BLACK.jpg,"Clothes, Shoes & Accessories > Women's Clothing > Tops & Shirts",If Your Car Sounds Like Womens Funny Mechanic T Shirt Gift for Her Mum,"['O', 'O', 'O', 'O', 'O', 'Department-b', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0 days 00:00:28.582947000,"['O', 'O', 'O', 'O', 'O', 'Department-b', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",,high quality feedback
817,97536,525,True,293164979439,Womens Sandals Party Gladiator Fashion Shoes Hollow Out Stylish High Heels,https://i.ebayimg.com/00/s/ODAwWDgwMA==/z/4VYAAOSw5SNdOWQS/$_1.JPG?set_id=2,"Clothes, Shoes & Accessories > Women's Shoes > Sandals",Womens Sandals Party Gladiator Fashion Shoes Hollow Out Stylish High Heels,"['Department-b', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0 days 00:00:12.426166000,"['Department-b', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Department-b', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",high quality feedback
817,97536,1242,False,293164979439,Womens Sandals Party Gladiator Fashion Shoes Hollow Out Stylish High Heels,https://i.ebayimg.com/00/s/ODAwWDgwMA==/z/4VYAAOSw5SNdOWQS/$_1.JPG?set_id=2,"Clothes, Shoes & Accessories > Women's Shoes > Sandals",Womens Sandals Party Gladiator Fashion Shoes Hollow Out Stylish High Heels,"['Department-b', 'O', 'O', 'O', 'O', 'O', 'Pattern-b', 'O', 'O', 'O', 'O']",0 days 00:00:12.199688000,"['Department-b', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",,high quality feedback
817,97353,525,True,293099275661,adidas Techfit Long Tights Ladies  SIZE M(12-14) REF C4472*,https://i.ebayimg.com/00/s/NzIwWDcyMA==/z/X7UAAOSwvjdZR~fE/$_57.JPG?set_id=8800005007,"Clothes, Shoes & Accessories > Women > Women's Clothing > Activewear > Activewear Bottoms",adidas Techfit Long Tights Ladies SIZE 12 14 REF C4472,"['Brand-b', 'O', 'O', 'O', 'O', 'O', 'Size-b', 'O', 'O', 'O']",0 days 00:00:13.865084000,"['Brand-b', 'O', 'O', 'O', 'O', 'O', 'Size-b', 'O', 'O', 'O']","['Brand-b', 'O', 'O', 'O', 'O', 'O', 'Size-b', 'O', 'O', 'O']",high quality feedback
817,97353,1242,False,293099275661,adidas Techfit Long Tights Ladies  SIZE M(12-14) REF C4472*,https://i.ebayimg.com/00/s/NzIwWDcyMA==/z/X7UAAOSwvjdZR~fE/$_57.JPG?set_id=8800005007,"Clothes, Shoes & Accessories > Women > Women's Clothing > Activewear > Activewear Bottoms",adidas Techfit Long Tights Ladies SIZE 12 14 REF C4472,"['Brand-b', 'O', 'Size-b', 'O', 'O', 'Size-b', 'Size-i', 'Size-i', 'O', 'O']",0 days 00:00:40.378937000,"['Brand-b', 'O', 'O', 'O', 'O', 'O', 'Size-b', 'O', 'O', 'O']",,high quality feedback
